Gender,Age,Income,Employment_Type,Employment_Years,Education,Marital_Status,Dependents,Occupation,Residence_Type,Credit_History,Existing_Loans,Payment_History,Annual_Income,Loan_Amount,Loan_Purpose,Approved
Male,53,7400.0,Salaried,5.0,Post-Graduate,Married,1,Manager,Rented,Bad,1,Occasional Delays,92909.0,22000.0,Personal,0
Male,37,5322.0,Self-Employed,12.0,Graduate,Single,1,Engineer,Owned,None,0,No Delays,68189.0,142000.0,Home,1
Male,21,6403.0,Salaried,1.0,Post-Graduate,Married,1,Engineer,Owned,Good,1,No Delays,78332.0,43000.0,Car,1
Female,24,8554.0,Salaried,6.0,Graduate,Married,0,Engineer,Rented,Good,1,No Delays,99484.0,28000.0,Personal,1
Female,18,4725.0,Self-Employed,1.0,Graduate,Married,0,Engineer,Rented,Good,0,No Delays,53838.0,7000.0,Car,1
Male,61,14286.0,Self-Employed,28.0,Post-Graduate,Single,1,Business Owner,Rented,None,0,No Delays,170439.0,68000.0,Personal,1
Male,62,5302.0,Salaried,13.0,High School,Single,0,Clerk,Rented,Good,0,No Delays,60529.0,40000.0,Business,1
Male,59,3170.0,Salaried,4.0,High School,Single,0,Others,Rented,Good,0,No Delays,37029.0,115000.0,Home,1
Male,64,9074.0,Salaried,17.0,Post-Graduate,Married,1,Manager,Owned,Good,0,No Delays,107373.0,45000.0,Personal,1
Female,30,4964.0,Salaried,10.0,Graduate,Married,0,Clerk,Rented,Good,1,No Delays,59365.0,97000.0,Business,1
Female,39,8434.0,Salaried,9.0,Post-Graduate,Married,0,Business Owner,Rented,Good,3,No Delays,98940.0,150000.0,Business,1
Female,38,13057.0,Salaried,10.0,Post-Graduate,Single,1,Manager,Mortgaged,Good,0,Occasional Delays,159398.0,103000.0,Business,1
Male,39,5891.0,Salaried,1.0,High School,Single,0,Clerk,Owned,Bad,1,Frequent Delays,67013.0,152000.0,Home,0
Male,45,7532.0,Self-Employed,14.0,Post-Graduate,Married,3,Engineer,Owned,Good,1,No Delays,88738.0,43000.0,Car,1
Female,26,4515.0,Salaried,6.0,Graduate,Married,2,Sales,Rented,Good,2,Occasional Delays,58900.0,18000.0,Car,1
Female,43,4454.0,Salaried,8.0,Graduate,Single,2,Clerk,Mortgaged,Bad,1,Frequent Delays,55549.0,191000.0,Home,0
Female,26,8111.0,Salaried,4.0,Graduate,Married,0,Engineer,Rented,None,1,No Delays,97075.0,45000.0,Car,1
Female,32,2416.0,Retired,14.0,Post-Graduate,Single,2,Manager,Rented,None,0,No Delays,32943.0,4000.0,Education,1
Male,27,2028.0,Salaried,6.0,High School,Divorced,2,Others,Mortgaged,Good,0,Occasional Delays,26350.0,14000.0,Personal,1
Male,41,7888.0,Salaried,19.0,Graduate,Divorced,2,Business Owner,Mortgaged,None,0,No Delays,93068.0,14000.0,Education,1
Male,59,6381.0,Salaried,1.0,Graduate,Single,0,Engineer,Rented,Good,0,No Delays,79397.0,14000.0,Car,1
Male,25,2918.0,Self-Employed,2.0,Graduate,Single,1,Sales,Rented,Bad,0,Frequent Delays,31373.0,93000.0,Home,0
Male,41,7564.0,Salaried,1.0,Graduate,Married,2,Engineer,Owned,Good,1,No Delays,89249.0,48000.0,Personal,1
Male,33,3246.0,Self-Employed,4.0,High School,Single,1,Sales,Mortgaged,Good,0,No Delays,43092.0,16000.0,Education,1
Female,66,2601.0,Unemployed,0.0,High School,Married,1,Clerk,Rented,Good,1,Occasional Delays,27978.0,7000.0,Education,1
Male,43,10676.0,Self-Employed,21.0,Graduate,Married,1,Engineer,Mortgaged,Good,0,No Delays,131331.0,36000.0,Personal,1
Male,44,10701.0,Self-Employed,22.0,Post-Graduate,Married,1,Engineer,Owned,Bad,2,Frequent Delays,130575.0,285000.0,Home,0
Female,54,6853.0,Salaried,18.0,High School,Married,0,Clerk,Rented,Good,2,No Delays,79706.0,74000.0,Business,1
Male,21,3162.0,Salaried,3.0,High School,Married,1,Sales,Rented,Good,0,No Delays,33103.0,7000.0,Car,1
Male,67,3151.0,Unemployed,0.0,Post-Graduate,Single,0,Engineer,Rented,Good,0,Occasional Delays,35704.0,46000.0,Business,1
Female,41,4445.0,Salaried,23.0,High School,Married,1,Sales,Owned,Good,1,No Delays,53666.0,90000.0,Business,1
Male,36,9270.0,Salaried,6.0,Post-Graduate,Married,0,Engineer,Rented,None,0,No Delays,110353.0,28000.0,Education,1
Male,53,10759.0,Self-Employed,27.0,Graduate,Married,1,Business Owner,Rented,Bad,0,Frequent Delays,131857.0,25000.0,Education,0
Male,56,12777.0,Salaried,21.0,Post-Graduate,Single,0,Manager,Rented,None,0,No Delays,156122.0,81000.0,Personal,1
Male,27,4500.0,Salaried,6.0,High School,Single,1,Sales,Owned,Good,2,No Delays,53999.0,161000.0,Home,1
Female,42,3995.0,Salaried,16.0,High School,Widowed,2,Others,Rented,Good,2,No Delays,44510.0,25000.0,Car,1
Female,35,6131.0,Salaried,15.0,Graduate,Single,0,Clerk,Owned,Good,1,No Delays,77600.0,142000.0,Home,1
Female,36,15641.0,Self-Employed,2.0,Post-Graduate,Widowed,0,Manager,Owned,Good,1,Occasional Delays,186097.0,32000.0,Car,1
Female,53,14789.0,Salaried,14.0,Graduate,Widowed,0,Manager,Rented,Good,2,No Delays,177995.0,460000.0,Home,1
Female,27,2190.0,Salaried,6.0,High School,Married,2,Others,Mortgaged,Bad,2,Occasional Delays,27128.0,35000.0,Business,0
Male,50,10279.0,Salaried,24.0,Graduate,Married,1,Engineer,Rented,Good,3,No Delays,125165.0,308000.0,Home,1
Female,67,7015.0,Self-Employed,2.0,Graduate,Married,1,Sales,Rented,Good,0,No Delays,80807.0,218000.0,Home,1
Male,22,4599.0,Self-Employed,0.0,Graduate,Divorced,0,Clerk,Rented,Good,0,No Delays,56331.0,41000.0,Business,1
Female,64,5490.0,Salaried,9.0,Graduate,Single,1,Clerk,Rented,Good,1,No Delays,69276.0,24000.0,Education,1
Female,66,8155.0,Self-Employed,14.0,Post-Graduate,Married,2,Engineer,Owned,Bad,1,Occasional Delays,99418.0,135000.0,Business,0
Male,52,4898.0,Salaried,28.0,Graduate,Married,2,Clerk,Mortgaged,Good,0,No Delays,59048.0,19000.0,Personal,1
Male,61,5493.0,Retired,20.0,High School,Married,1,Sales,Mortgaged,Good,0,Occasional Delays,68797.0,197000.0,Home,1
Male,51,6732.0,Salaried,27.0,Graduate,Married,0,Clerk,Rented,Good,2,No Delays,84767.0,28000.0,Car,1
Male,50,3908.0,Self-Employed,16.0,High School,Single,0,Others,Rented,None,2,No Delays,45643.0,12000.0,Personal,1
Female,38,10140.0,Salaried,16.0,Graduate,Married,0,Engineer,Rented,None,0,No Delays,125977.0,113000.0,Business,1
Female,34,7680.0,Salaried,13.0,Graduate,Divorced,0,Engineer,Rented,Good,2,Occasional Delays,96442.0,29000.0,Personal,1
Male,39,3658.0,Salaried,17.0,High School,Single,0,Clerk,Owned,Good,1,No Delays,40503.0,5000.0,Personal,1
Male,65,4622.0,Retired,46.0,Graduate,Divorced,0,Business Owner,Owned,Good,1,Occasional Delays,55538.0,24000.0,Education,1
Male,54,4712.0,Salaried,3.0,High School,Married,0,Clerk,Rented,Good,0,No Delays,58697.0,187000.0,Home,1
Male,32,3976.0,Retired,14.0,Post-Graduate,Married,3,Engineer,Mortgaged,None,0,No Delays,49445.0,14000.0,Personal,1
Male,52,9272.0,Salaried,17.0,Post-Graduate,Married,1,Engineer,Owned,None,0,No Delays,106330.0,13000.0,Education,1
Male,45,6079.0,Salaried,4.0,High School,Married,2,Sales,Owned,Bad,0,Occasional Delays,75948.0,45000.0,Education,0
Female,24,8180.0,Salaried,5.0,Post-Graduate,Single,2,Engineer,Rented,Good,1,Occasional Delays,100805.0,23000.0,Personal,1
Male,49,14400.0,Self-Employed,26.0,Graduate,Married,0,Manager,Mortgaged,None,0,No Delays,177270.0,29000.0,Personal,1
Male,28,4914.0,Salaried,10.0,High School,Single,2,Sales,Owned,Good,3,No Delays,58126.0,130000.0,Home,1
Female,27,3073.0,Retired,9.0,High School,Divorced,0,Others,Owned,Bad,0,Occasional Delays,40881.0,19000.0,Education,0
Male,26,2238.0,Retired,8.0,Graduate,Widowed,1,Sales,Rented,Good,0,Occasional Delays,22258.0,5000.0,Education,1
Female,31,2884.0,Retired,13.0,Graduate,Single,0,Manager,Rented,Good,1,No Delays,37533.0,99000.0,Home,1
Female,30,3768.0,Salaried,2.0,Graduate,Single,3,Sales,Owned,Good,1,Occasional Delays,44382.0,103000.0,Home,1
Male,42,5331.0,Self-Employed,13.0,High School,Married,0,Sales,Owned,Good,0,No Delays,61897.0,107000.0,Home,1
Male,19,2034.0,Self-Employed,0.0,High School,Single,0,Others,Rented,Good,1,No Delays,22401.0,6000.0,Car,1
Male,52,11018.0,Salaried,5.0,Graduate,Divorced,3,Engineer,Rented,Bad,1,Frequent Delays,136494.0,197000.0,Business,0
Male,24,4949.0,Self-Employed,0.0,High School,Single,0,Sales,Mortgaged,Good,1,No Delays,55159.0,150000.0,Home,1
Male,38,2420.0,Salaried,18.0,High School,Single,1,Others,Rented,Good,1,No Delays,31411.0,55000.0,Home,1
Female,35,4095.0,Salaried,11.0,High School,Widowed,2,Others,Owned,Good,0,No Delays,54001.0,38000.0,Business,1
Male,20,7026.0,Salaried,0.0,Post-Graduate,Married,2,Engineer,Rented,Good,1,No Delays,85025.0,36000.0,Education,1
Male,59,15069.0,Salaried,10.0,Post-Graduate,Married,3,Manager,Rented,None,2,No Delays,183995.0,287000.0,Business,1
Male,56,10843.0,Salaried,21.0,Graduate,Single,3,Engineer,Owned,Good,0,No Delays,126672.0,35000.0,Car,1
Female,58,16352.0,Salaried,3.0,Post-Graduate,Married,0,Manager,Mortgaged,Good,0,No Delays,192375.0,76000.0,Personal,1
Male,66,9071.0,Self-Employed,16.0,Graduate,Married,2,Engineer,Mortgaged,None,2,No Delays,109166.0,201000.0,Home,1
Male,28,10148.0,Salaried,7.0,Graduate,Married,1,Engineer,Owned,Bad,0,Frequent Delays,117993.0,107000.0,Business,0
Male,56,4876.0,Salaried,13.0,High School,Married,1,Others,Owned,Good,0,No Delays,57456.0,6000.0,Car,1
Female,41,7459.0,Salaried,1.0,Graduate,Married,0,Manager,Owned,Bad,3,Frequent Delays,92547.0,45000.0,Personal,0
Male,63,11055.0,Salaried,10.0,Post-Graduate,Married,1,Engineer,Owned,Good,0,Occasional Delays,129702.0,39000.0,Personal,1
Female,36,12679.0,Self-Employed,10.0,Graduate,Single,3,Manager,Rented,Bad,0,Frequent Delays,153451.0,78000.0,Education,0
Female,21,7756.0,Salaried,3.0,Graduate,Married,3,Engineer,Rented,Good,2,Occasional Delays,96969.0,44000.0,Education,1
Male,43,10289.0,Self-Employed,21.0,Graduate,Single,1,Manager,Mortgaged,None,2,No Delays,121137.0,191000.0,Business,1
Female,55,6590.0,Salaried,23.0,High School,Married,0,Clerk,Owned,Good,0,No Delays,76193.0,19000.0,Car,1
Male,59,11052.0,Self-Employed,5.0,Post-Graduate,Single,0,Engineer,Rented,Good,1,No Delays,130601.0,25000.0,Personal,1
Female,49,5684.0,Salaried,20.0,Graduate,Married,2,Sales,Mortgaged,Good,1,No Delays,67586.0,119000.0,Business,1
Female,56,9165.0,Salaried,20.0,Graduate,Married,2,Engineer,Rented,Good,1,No Delays,112207.0,329000.0,Home,1
Male,62,9018.0,Self-Employed,13.0,Graduate,Single,1,Engineer,Owned,None,0,No Delays,109477.0,347000.0,Home,1
Male,63,11611.0,Salaried,29.0,Graduate,Single,0,Engineer,Owned,Good,0,Occasional Delays,134754.0,14000.0,Personal,1
Female,53,4112.0,Self-Employed,9.0,High School,Single,1,Others,Rented,Good,0,No Delays,53066.0,117000.0,Home,1
Male,57,4071.0,Self-Employed,25.0,Graduate,Married,1,Sales,Mortgaged,Good,2,No Delays,43942.0,21000.0,Personal,1
Male,54,6226.0,Salaried,26.0,High School,Married,3,Sales,Mortgaged,Good,2,No Delays,73084.0,10000.0,Education,1
Male,50,5675.0,Salaried,7.0,Graduate,Single,1,Clerk,Mortgaged,None,3,No Delays,69136.0,86000.0,Business,1
Female,53,8400.0,Salaried,6.0,Post-Graduate,Married,0,Engineer,Mortgaged,Good,2,No Delays,97742.0,103000.0,Business,1
Female,20,4010.0,Retired,2.0,Post-Graduate,Single,1,Manager,Rented,Good,1,No Delays,46925.0,5000.0,Personal,1
Male,26,7649.0,Self-Employed,7.0,Graduate,Married,0,Engineer,Mortgaged,Bad,0,Frequent Delays,96220.0,190000.0,Home,0
Male,25,6327.0,Salaried,3.0,Graduate,Divorced,3,Business Owner,Mortgaged,Bad,1,Frequent Delays,80874.0,20000.0,Personal,0
Male,50,3096.0,Salaried,7.0,High School,Single,0,Others,Rented,Good,1,Occasional Delays,32249.0,5000.0,Car,1
Female,23,4956.0,Salaried,1.0,Graduate,Married,1,Clerk,Owned,Good,1,No Delays,55951.0,23000.0,Personal,1
Male,58,5670.0,Self-Employed,26.0,High School,Single,0,Sales,Rented,Bad,0,Frequent Delays,67666.0,134000.0,Home,0
Female,56,10692.0,Salaried,30.0,Graduate,Single,1,Engineer,Owned,Bad,2,Occasional Delays,128451.0,264000.0,Home,0
Male,21,4982.0,Salaried,3.0,High School,Single,1,Sales,Owned,Bad,0,Frequent Delays,58431.0,32000.0,Education,0
Female,30,2733.0,Retired,12.0,High School,Single,2,Sales,Mortgaged,None,0,No Delays,33239.0,81000.0,Home,0
Male,66,11575.0,Salaried,8.0,Graduate,Married,0,Engineer,Mortgaged,Bad,1,Frequent Delays,133979.0,135000.0,Business,0
Male,19,3026.0,Salaried,0.0,High School,Married,0,Others,Owned,Bad,1,Frequent Delays,36889.0,53000.0,Business,0
Male,22,1423.0,Unemployed,0.0,Graduate,Married,0,Sales,Rented,None,0,No Delays,14299.0,8000.0,Education,0
Female,61,14778.0,Self-Employed,22.0,Graduate,Single,1,Manager,Mortgaged,Good,1,No Delays,174905.0,20000.0,Education,1
Female,44,6342.0,Salaried,11.0,High School,Single,0,Sales,Rented,Good,0,Occasional Delays,81068.0,194000.0,Home,1
Male,49,10389.0,Salaried,26.0,Graduate,Married,1,Engineer,Rented,Good,0,Occasional Delays,124186.0,50000.0,Car,1
Female,38,3702.0,Salaried,16.0,High School,Widowed,2,Sales,Rented,Good,0,No Delays,40547.0,11000.0,Personal,1
Female,25,3910.0,Salaried,2.0,High School,Single,2,Clerk,Mortgaged,Bad,1,Occasional Delays,44543.0,22000.0,Personal,0
Female,55,5066.0,Retired,16.0,Graduate,Divorced,1,Clerk,Mortgaged,Bad,3,Occasional Delays,57195.0,34000.0,Education,0
Male,25,2360.0,Salaried,4.0,High School,Married,1,Others,Rented,Bad,1,Occasional Delays,25898.0,15000.0,Personal,0
Male,67,8687.0,Self-Employed,0.0,Post-Graduate,Married,0,Engineer,Owned,None,2,No Delays,99575.0,23000.0,Education,1
Male,20,3639.0,Retired,2.0,High School,Married,1,Others,Mortgaged,Good,0,No Delays,46153.0,10000.0,Education,1
Female,61,4582.0,Salaried,25.0,High School,Single,2,Others,Owned,Bad,0,Occasional Delays,50723.0,29000.0,Personal,0
Female,20,7229.0,Salaried,2.0,Graduate,Single,0,Manager,Rented,Good,1,Occasional Delays,89981.0,30000.0,Personal,1
Female,39,5402.0,Salaried,10.0,Graduate,Married,1,Engineer,Owned,Good,0,Occasional Delays,64804.0,13000.0,Education,1
Male,23,2543.0,Retired,5.0,High School,Single,2,Others,Rented,Good,1,No Delays,29394.0,86000.0,Home,1
Male,19,9193.0,Self-Employed,0.0,Graduate,Divorced,2,Business Owner,Rented,Bad,1,Frequent Delays,107265.0,26000.0,Education,0
Female,40,4388.0,Salaried,0.0,High School,Married,0,Clerk,Owned,Good,3,No Delays,51116.0,12000.0,Education,1
Female,61,13658.0,Self-Employed,19.0,Post-Graduate,Single,1,Manager,Mortgaged,Bad,0,Frequent Delays,161024.0,87000.0,Personal,0
Female,19,6791.0,Salaried,1.0,Graduate,Married,0,Manager,Owned,Good,0,Occasional Delays,80989.0,15000.0,Car,1
Female,55,3028.0,Retired,27.0,Graduate,Single,0,Business Owner,Mortgaged,Good,1,No Delays,33490.0,55000.0,Home,1
Female,34,15489.0,Salaried,7.0,Post-Graduate,Married,3,Manager,Mortgaged,Good,0,No Delays,186098.0,379000.0,Home,1
Male,52,5520.0,Salaried,5.0,Graduate,Married,2,Clerk,Rented,Good,1,No Delays,68684.0,186000.0,Home,1
Male,51,3520.0,Retired,31.0,Post-Graduate,Divorced,2,Engineer,Rented,None,0,No Delays,38477.0,6000.0,Personal,1
Female,40,8420.0,Salaried,11.0,Graduate,Married,0,Manager,Owned,Good,0,No Delays,105998.0,36000.0,Education,1
Female,47,8692.0,Salaried,0.0,Post-Graduate,Married,2,Engineer,Rented,None,0,No Delays,108001.0,142000.0,Business,1
Male,69,6611.0,Salaried,2.0,High School,Married,1,Clerk,Rented,None,0,No Delays,79572.0,254000.0,Home,0
Male,25,5048.0,Salaried,5.0,Graduate,Divorced,0,Sales,Rented,None,1,No Delays,60391.0,13000.0,Personal,1
Female,39,7323.0,Salaried,7.0,Graduate,Single,1,Engineer,Rented,Good,0,No Delays,92462.0,144000.0,Business,1
Male,61,3534.0,Retired,25.0,Graduate,Single,0,Clerk,Rented,None,0,No Delays,37664.0,8000.0,Car,1
Male,53,6241.0,Salaried,26.0,Graduate,Single,2,Clerk,Mortgaged,Good,0,No Delays,71612.0,31000.0,Car,1
Male,22,7741.0,Salaried,4.0,Graduate,Single,1,Engineer,Owned,Good,0,No Delays,95239.0,101000.0,Business,1
